"topics_label","topics","lecture_label","lecture_content_label","lecture_content"
"Semantic_web","http://dbpedia.org/resource/Semantic_Web","IS lecture One","IS_slide_01","file:///home/manish/Desktop/Intelligent_Systems/Project/Project_Folder/comp6741_IS_Roboprof/COMP6741/slides/IS_Slide01"
"University_of_sheffield","http://dbpedia.org/resource/University_of_Sheffield","IS lecture One","IS_slide_01","file:///home/manish/Desktop/Intelligent_Systems/Project/Project_Folder/comp6741_IS_Roboprof/COMP6741/slides/IS_Slide01"
"Stanford_university","http://dbpedia.org/resource/Stanford_University","IS lecture One","IS_slide_01","file:///home/manish/Desktop/Intelligent_Systems/Project/Project_Folder/comp6741_IS_Roboprof/COMP6741/slides/IS_Slide01"
"Software_engineering","http://dbpedia.org/resource/Software_engineering","IS lecture One","IS_slide_01","file:///home/manish/Desktop/Intelligent_Systems/Project/Project_Folder/comp6741_IS_Roboprof/COMP6741/slides/IS_Slide01"
"Resource_description_framework","http://dbpedia.org/resource/Resource_Description_Framework","IS lecture One","IS_slide_01","file:///home/manish/Desktop/Intelligent_Systems/Project/Project_Folder/comp6741_IS_Roboprof/COMP6741/slides/IS_Slide01"
"Computer_science","http://dbpedia.org/resource/Computer_science","IS lecture One","IS_slide_01","file:///home/manish/Desktop/Intelligent_Systems/Project/Project_Folder/comp6741_IS_Roboprof/COMP6741/slides/IS_Slide01"
"Apache_lucene","http://dbpedia.org/resource/Apache_Lucene","IS lecture One","IS_slide_01","file:///home/manish/Desktop/Intelligent_Systems/Project/Project_Folder/comp6741_IS_Roboprof/COMP6741/slides/IS_Slide01"
"Steve_jobs","http://dbpedia.org/resource/Steve_Jobs","IS lecture One","IS_slide_01","file:///home/manish/Desktop/Intelligent_Systems/Project/Project_Folder/comp6741_IS_Roboprof/COMP6741/slides/IS_Slide01"
"Massachusetts_institute_of_technology","http://dbpedia.org/resource/Massachusetts_Institute_of_Technology","IS lecture One","IS_slide_01","file:///home/manish/Desktop/Intelligent_Systems/Project/Project_Folder/comp6741_IS_Roboprof/COMP6741/slides/IS_Slide01"
"Natural_language_processing","http://dbpedia.org/resource/Natural_language_processing","IS lecture One","IS_slide_01","file:///home/manish/Desktop/Intelligent_Systems/Project/Project_Folder/comp6741_IS_Roboprof/COMP6741/slides/IS_Slide01"
"Linked_data","http://dbpedia.org/resource/Linked_data","IS lecture One","IS_slide_01","file:///home/manish/Desktop/Intelligent_Systems/Project/Project_Folder/comp6741_IS_Roboprof/COMP6741/slides/IS_Slide01"
"Software_as_a_service","http://dbpedia.org/resource/Software_as_a_service","IS lecture One","IS_slide_01","file:///home/manish/Desktop/Intelligent_Systems/Project/Project_Folder/comp6741_IS_Roboprof/COMP6741/slides/IS_Slide01"
